City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Torbay,CA,47.6666,-52.7314,43.57,83,75,10.36,broken clouds
199,Bubaque,GW,11.2833,-15.8333,76.89,77,6,23.4,clear sky
200,Karratha,AU,-20.7377,116.8463,80.6,72,71,5.55,broken clouds
201,Clyde,US,41.3042,-82.9752,32.92,39,52,11.92,broken clouds
202,Vestmanna,FO,62.1564,-7.1664,32.92,86,100,6.91,light intensity drizzle
203,Biloela,AU,-24.4167,150.5,72.25,65,11,4.09,few clouds
204,Srednekolymsk,RU,67.45,153.6833,-0.26,87,48,5.35,scattered clouds
205,Bolivar,US,37.6145,-93.4105,64.58,33,71,1.01,broken clouds
206,Cherskiy,RU,68.75,161.3,-4.05,92,43,2.89,scattered clouds
207,Steamboat Springs,US,40.485,-106.8317,59.7,20,0,7.0,clear sky
208,Seoul,KR,37.5683,126.9778,35.2,66,0,3.44,clear sky
209,Sorong,ID,-0.8833,131.25,81.01,79,98,6.24,overcast clouds
210,Hun,LY,29.1268,15.9477,65.98,39,22,8.01,few clouds
211,Bengkulu,ID,-3.8004,102.2655,73.92,82,17,6.55,few clouds
212,Tura,IN,25.5198,90.2201,69.89,59,5,4.97,clear sky
213,Mount Isa,AU,-20.7333,139.5,69.57,32,3,8.05,clear sky
214,Forres,GB,57.6113,-3.6108,42.82,93,20,3.44,haze
215,Surt,LY,31.2089,16.5887,60.55,84,46,10.18,scattered clouds
216,Nishihara,JP,26.1842,127.7558,67.28,94,100,9.22,overcast clouds
217,Teeli,RU,51.0333,90.2333,15.94,82,85,4.16,overcast clouds
218,Elat,IL,29.5581,34.9482,62.44,29,0,13.8,clear sky
219,Nha Trang,VN,12.25,109.1833,78.8,92,74,6.46,broken clouds
220,Gulabpura,IN,25.9,74.6667,78.44,16,0,10.89,clear sky
221,Ajdabiya,LY,30.7554,20.2263,65.91,26,58,5.08,broken clouds
222,Nizhnyaya Salda,RU,58.0776,60.7202,21.04,87,100,8.37,overcast clouds
223,Palmer,US,42.1584,-72.3287,26.85,32,75,25.32,broken clouds
224,Sorland,NO,67.667,12.6934,32.77,44,100,10.38,overcast clouds
225,Sabzevar,IR,36.2126,57.6819,49.28,37,0,21.85,clear sky
226,Palana,RU,59.1167,159.9667,18.07,82,17,19.19,few clouds
227,Beringovskiy,RU,63.05,179.3167,-0.2,92,100,6.87,overcast clouds
228,Ketchikan,US,55.3422,-131.6461,48.67,49,0,10.36,clear sky
229,Gerede,TR,40.8008,32.1969,30.27,85,77,6.26,broken clouds
230,Skjervoy,NO,70.0311,20.9714,24.8,54,100,22.41,light snow
231,Fort Nelson,CA,58.8053,-122.7002,40.59,33,20,4.61,few clouds
232,Codrington,AU,-38.2667,141.9667,60.46,67,92,5.06,overcast clouds
233,Newport,GB,51.5877,-2.9984,55.94,78,99,7.02,overcast clouds
234,Malabo,GQ,3.75,8.7833,82.71,78,67,7.87,broken clouds
235,Kieta,PG,-6.2167,155.6333,82.26,80,99,5.48,overcast clouds
236,Victoria,HK,22.2855,114.1577,65.25,85,98,10.0,overcast clouds
237,San Cristobal,VE,7.7669,-72.225,75.38,50,85,4.09,overcast clouds
238,Prainha,BR,-1.8,-53.48,73.81,97,100,3.15,overcast clouds
239,Grindavik,IS,63.8424,-22.4338,41.47,75,75,14.97,broken clouds
240,Puerto Escondido,MX,15.85,-97.0667,86.4,49,43,7.54,scattered clouds
241,West Wendover,US,40.7391,-114.0733,66.92,16,100,25.12,overcast clouds
242,Blackwater,AU,-23.5833,148.8833,74.8,48,3,5.35,clear sky
243,Mantua,IT,45.1667,10.7833,54.64,66,4,4.0,clear sky
244,Rancho Palos Verdes,US,33.7445,-118.387,64.31,76,75,5.75,broken clouds
245,Port Hardy,CA,50.6996,-127.4199,50.0,87,40,4.61,scattered clouds
246,Bridlington,GB,54.0831,-0.1919,46.0,95,94,4.0,overcast clouds
247,Tateyama,JP,34.9833,139.8667,52.11,69,100,12.91,overcast clouds
248,Touros,BR,-5.1989,-35.4608,80.64,78,100,11.25,overcast clouds
249,Drabiv,UA,49.963,32.1529,47.25,49,25,18.68,scattered clouds
250,Huangmei,CN,30.1924,116.025,52.86,92,4,4.72,clear sky
